com_name,PIRATEN,déi gréng,LSAP,CSV,KPL,DP,ADR,déi Lénk,ps_count,ps_lv_only,ps_complete,cand_women,cand_men,cand_total,el_registered,el_postal_ballots,bl_in_box,bl_valid,bl_blank,bl_invalid,bl_postal,vot_count,vot_total_cast
Beaufort,930,1048,786,1620,106,1060,857,270,0,0,3,0,0,30,26,56,1215,-999,1096,997,49,50,174,6979,6677
Bech,153,932,492,1265,28,833,423,169,0,0,2,0,0,30,26,56,714,-999,658,628,12,18,108,4396,4295
Beckerich,1057,2635,969,3289,48,1412,941,595,0,0,4,0,0,26,46,72,1468,-999,1362,1268,48,46,225,11412,10946
Berdorf,335,803,853,1339,59,794,840,118,0,0,3,0,0,30,26,56,868,-999,817,759,28,30,116,5313,5141
Bertrange,2379,7540,4647,14210,359,15069,2360,2231,158,0,7,0,0,85,104,189,3052,-999,2659,2493,62,104,463,52353,48953
Bettembourg,5519,14940,23765,25557,1144,10892,9202,5481,355,232,17,0,0,108,122,230,5381,-999,4816,4500,150,166,805,103500,97087
Bettendorf,870,1357,1640,2958,64,1538,781,500,0,0,4,0,0,26,46,72,1331,-999,1235,1135,41,59,204,10215,9708
Betzdorf,483,2385,2277,3128,37,1852,848,477,0,0,5,0,0,30,26,56,1923,-999,1796,1710,33,53,321,11970,11487
Bissen,2013,3199,4178,7919,145,3914,2375,1369,82,0,3,0,0,85,104,189,1595,-999,1468,1346,41,81,228,28266,25194
Biwer,481,960,731,1854,25,1255,732,206,0,0,3,0,0,30,26,56,1051,-999,986,923,24,39,138,6461,6244
Boulaide,519,539,790,1845,65,997,815,184,0,0,3,0,0,26,46,72,751,-999,709,669,18,22,111,6021,5754
Bourscheid,525,759,824,2527,31,1173,561,230,0,0,2,0,0,26,46,72,886,-999,827,780,20,27,128,7020,6630
Bous,404,818,639,1792,44,1129,563,209,0,0,2,0,0,30,26,56,942,-999,887,837,21,29,133,5859,5598
Clervaux,1544,2259,2436,6648,160,4115,2357,591,0,0,8,0,0,26,46,72,2807,-999,2545,2368,71,106,403,21312,20110
Colmar-Berg,1415,2347,2188,4078,93,2764,2248,823,17,0,2,0,0,85,104,189,1017,-999,948,856,44,48,157,17976,15973
Consdorf,438,961,628,1875,50,1510,791,197,0,0,3,0,0,30,26,56,1103,-999,1022,956,23,43,139,6692,6450
Contern,1444,5222,4299,12365,165,6412,2297,1357,59,0,5,0,0,85,104,189,2065,-999,1831,1733,49,49,378,36393,33620
Dalheim,677,1248,785,1885,27,1575,859,332,0,0,3,0,0,30,26,56,1231,-999,1166,1095,22,49,176,7665,7388
Diekirch,1325,3506,6459,6300,114,3153,1477,865,0,0,9,0,0,26,46,72,3354,-999,2908,2689,75,144,538,24201,23199
Differdange,14447,28426,30296,33960,6581,19338,14016,9413,913,1302,22,0,0,108,122,230,9439,-999,8466,7519,380,567,1033,172937,158692
Dippach,2362,5026,8362,11392,328,6580,3062,1815,64,95,6,0,0,108,122,230,2192,-999,2018,1896,48,74,361,43608,39086
Dudelange,11964,23902,61045,40066,2026,12513,15392,12415,584,704,27,0,0,108,122,230,10242,-999,9230,8466,303,461,1295,194718,180611
Echternach,986,2656,2241,3598,98,2409,930,498,0,0,7,0,0,30,26,56,2503,-999,2127,1988,55,84,417,13916,13416
Ell,431,1032,450,1637,53,952,604,246,0,0,2,0,0,26,46,72,722,-999,677,632,22,23,105,5688,5405
Erpeldange-sur-Sûre,549,1778,1558,3370,42,2097,914,385,0,0,4,0,0,26,46,72,1402,-999,1298,1240,26,32,231,11160,10693
Esch-sur-Alzette,14627,29565,43306,53250,5110,23092,14456,17731,611,1063,35,0,0,108,122,230,12158,-999,10544,9450,434,660,1248,217350,202811
Esch-sur-Sûre,705,1258,1263,4023,105,1608,989,368,0,0,3,0,0,26,46,72,1416,-999,1333,1224,49,60,284,11016,10319
Ettelbruck,2309,3862,5118,7808,259,3695,1973,920,0,0,9,0,0,26,46,72,3781,-999,3284,2989,117,178,498,26901,25944
Feulen,633,1374,1144,2782,71,1955,897,266,0,0,3,0,0,26,46,72,1186,-999,1138,1071,33,34,176,9639,9122
Fischbach,868,1752,1186,2888,84,2735,996,440,69,0,2,0,0,85,104,189,644,-999,616,571,21,24,95,11991,11018
Flaxweiler,469,1100,874,2578,48,1119,689,189,0,0,3,0,0,30,26,56,1173,-999,1104,1035,35,34,171,7245,7066
Frisange,2927,5948,7317,11686,487,6270,7762,2311,111,166,6,0,0,108,122,230,2424,-999,2241,2102,58,81,389,48346,44985
Garnich,978,2762,3374,6121,308,4217,2898,1010,38,80,4,0,0,108,122,230,1203,-999,1132,1044,53,35,220,24012,21786
Goesdorf,473,895,1295,2602,57,1032,708,225,0,0,2,0,0,26,46,72,966,-999,920,852,32,36,154,7668,7287
Grevenmacher,1069,1915,2260,4235,140,2448,1125,418,0,0,6,0,0,30,26,56,2444,-999,2166,2025,49,92,344,14175,13610
Grosbous,325,557,621,1671,12,1211,474,85,0,0,2,0,0,26,46,72,643,-999,615,571,18,26,95,5139,4956
Habscht,2541,5551,6743,15067,652,6179,3953,2342,112,150,7,0,0,108,122,230,2427,-999,2241,2084,61,96,413,47932,43290
Heffingen,749,1820,1539,4140,134,2690,1355,685,6,0,2,0,0,85,104,189,774,-999,724,683,16,25,113,14343,13118
Helperknapp,2674,6363,4631,13044,307,7717,3804,2151,102,0,6,0,0,85,104,189,2395,-999,2259,2117,70,72,407,44457,40793
Hesperange,3981,14773,8701,32608,703,19651,5947,4540,236,0,19,0,0,85,104,189,5774,-999,5004,4679,125,200,870,98259,91140
Junglinster,1222,4401,2330,7107,128,5877,2015,698,0,0,11,0,0,30,26,56,3998,-999,3645,3483,78,84,715,24381,23778
Käerjeng,6895,15554,20005,32651,1578,13219,10967,5270,359,667,16,0,0,108,122,230,5938,-999,5361,5015,156,190,928,115345,107165
Kayl,7291,10074,21303,21396,1319,8026,7931,3647,367,469,10,0,0,108,122,230,4702,-999,4251,3841,195,215,544,88343,81823
Kehlen,2194,9983,9308,18554,525,10020,5475,2498,119,147,9,0,0,108,122,230,3179,-999,2899,2763,67,69,555,63549,58823
Kiischpelt,590,433,664,1667,65,727,629,208,0,0,2,0,0,26,46,72,655,-999,610,571,19,20,73,5139,4983
Koerich,1787,4205,4118,7584,394,3183,2163,1325,83,51,3,0,0,108,122,230,1314,-999,1231,1166,30,35,251,26818,24893
Kopstal,999,5083,4137,7989,249,6577,2027,1702,188,59,4,0,0,108,122,230,1582,-999,1392,1323,31,38,361,30429,29010
Lac de la Haute-Sûre,421,928,1125,3006,85,1347,935,284,0,0,4,0,0,26,46,72,1091,-999,1033,961,25,47,165,8649,8131
Larochette,1283,1728,1306,3112,113,2241,762,682,8,0,2,0,0,85,104,189,709,-999,665,600,24,41,89,12600,11235
Lenningen,350,1063,674,1632,23,1273,606,217,0,0,3,0,0,30,26,56,989,-999,916,869,23,24,151,6083,5838
Leudelange,1031,3698,2799,7352,137,4710,1750,988,114,248,3,0,0,108,122,230,1294,-999,1157,1073,33,51,209,24679,22827
Lintgen,2222,4017,3854,5743,182,4692,2167,1220,77,0,3,0,0,85,104,189,1453,-999,1353,1247,49,57,272,26187,24174
Lorentzweiler,1769,5062,5161,9335,189,6905,2053,1638,117,0,5,0,0,85,104,189,2026,-999,1810,1680,61,69,354,35280,32229
Luxembourg,21061,76042,49783,120874,4132,121123,27609,30702,1729,0,74,0,0,85,104,189,29674,-999,24764,22940,590,1234,4495,481740,453055
Mamer,3185,14267,9554,21593,255,11951,4665,3273,282,138,11,0,0,108,122,230,3835,-999,3405,3218,81,106,711,74014,69163
Manternach,484,1301,969,2022,26,1132,741,200,0,0,3,0,0,30,26,56,1218,-999,1097,1036,23,38,134,7252,6875
Mersch,5234,11349,8369,21591,417,16890,6349,4265,240,0,11,0,0,85,104,189,4680,-999,4130,3826,138,166,327,80346,74704
Mertert,970,1690,3529,3493,115,1748,938,302,0,0,5,0,0,30,26,56,2326,-999,2068,1903,68,97,306,13321,12785
Mertzig,666,1234,1187,2601,60,2229,742,362,0,0,3,0,0,26,46,72,1222,-999,1149,1070,40,39,202,9630,9081
Mondercange,4051,10075,17252,23069,862,9954,6774,3956,140,236,10,0,0,108,122,230,4167,-999,3818,3588,118,112,683,82524,76369
Mondorf-les-Bains,753,2080,1015,3301,60,4889,1113,337,0,0,7,0,0,30,26,56,2478,-999,2139,2024,38,77,349,14168,13548
Niederanven,1638,7198,5832,16156,180,11272,2937,1963,198,0,7,0,0,85,104,189,2839,-999,2481,2396,28,57,550,50316,47374
Nommern,921,2396,1938,4099,55,2848,1518,1067,77,0,2,0,0,85,104,189,844,-999,796,762,10,24,132,16002,14919
Parc Hosingen,1503,1551,2072,4713,139,2829,1819,535,0,0,5,0,0,26,46,72,2059,-999,1930,1788,72,70,269,16092,15161
Pétange,15385,18789,25121,38971,2548,12223,8981,5803,462,1661,18,0,0,108,122,230,7640,-999,6861,6184,292,385,965,142232,129944
Préizerdaul,593,1249,907,2252,48,1566,829,239,0,0,2,0,0,26,46,72,1011,-999,948,894,24,30,193,8046,7683
Putscheid,273,647,477,1824,26,695,660,183,0,0,2,0,0,26,46,72,633,-999,602,560,21,21,93,5040,4785
Rambrouch,1551,2039,2098,5537,118,2841,1795,434,0,0,7,0,0,26,46,72,2236,-999,2073,1907,76,90,296,17163,16413
Reckange-sur-Mess,1265,4624,5339,7542,373,4470,2921,1853,43,103,4,0,0,108,122,230,1546,-999,1434,1352,47,35,352,31096,28533
Redange/Attert,864,1866,1019,4384,166,2120,1118,556,0,0,4,0,0,26,46,72,1657,-999,1484,1404,31,49,198,12636,12093
Reisdorf,423,418,562,1584,32,595,323,60,0,0,1,0,0,26,46,72,537,-999,500,463,22,15,66,4167,3997
Remich,932,1392,837,2623,80,2397,658,275,0,0,4,0,0,30,26,56,1578,-999,1442,1363,36,43,250,9541,9194
Roeser,3069,9213,11812,16215,639,8372,5033,2749,263,186,7,0,0,108,122,230,3149,-999,2836,2664,86,86,454,61272,57551
Rosport-Mompach,840,2113,1486,4251,64,1819,1586,427,0,0,6,0,0,30,26,56,2109,-999,1982,1870,54,58,367,13090,12586
Rumelange,3502,4662,13097,10137,1790,4223,3359,1953,201,246,7,0,0,108,122,230,2429,-999,2210,2015,81,114,258,46345,43170
Saeul,203,853,424,1024,37,502,540,240,0,0,1,0,0,26,46,72,496,-999,466,437,14,15,62,3933,3823
Sandweiler,1575,4688,3160,6955,189,5397,2099,1315,75,0,4,0,0,85,104,189,1531,-999,1390,1295,38,57,318,27195,25453
Sanem,11071,20818,39052,39973,2822,14185,13857,12778,515,772,22,0,0,108,122,230,8889,-999,8066,7388,277,401,1142,169924,155843
Schengen,1101,2469,1559,4467,130,3671,1695,516,0,0,8,0,0,30,26,56,2693,-999,2484,2331,69,84,384,16317,15608
Schieren,558,942,1073,2102,29,1580,451,252,0,0,2,0,0,26,46,72,949,-999,881,815,31,35,147,7335,6987
Schifflange,6868,11885,24187,25786,1648,8464,8271,5028,397,592,12,0,0,108,122,230,5327,-999,4785,4367,160,258,849,100441,93126
Schuttrange,1210,5717,3472,7958,116,7421,2200,1262,98,0,5,0,0,85,104,189,1760,-999,1585,1495,41,49,440,31395,29454
Stadtbredimus,500,861,522,1789,48,1237,620,273,0,0,2,0,0,30,26,56,1022,-999,931,877,24,30,184,6139,5850
Steinfort,2871,7395,12168,12560,563,5558,4308,2852,50,149,7,0,0,108,122,230,2626,-999,2391,2257,56,78,453,51911,48474
Steinsel,2025,6553,7981,12535,193,9553,3015,2458,217,0,6,0,0,85,104,189,2651,-999,2390,2274,65,51,591,47754,44530
Strassen,2132,7787,5443,14200,262,14513,2513,2259,220,0,8,0,0,85,104,189,3012,-999,2628,2496,44,88,545,52416,49329
Tandel,435,1159,1164,3509,36,1172,777,389,0,0,3,0,0,26,46,72,1143,-999,1085,1023,23,39,203,9207,8641
Troisvierges,696,1125,1188,3435,65,2683,956,300,0,0,3,0,0,26,46,72,1452,-999,1342,1236,43,63,188,11124,10448
Useldange,774,1448,920,2631,52,1630,983,466,0,0,3,0,0,26,46,72,1167,-999,1102,1051,25,26,162,9459,8904
Vallée de l'Ernz,894,1277,1069,3392,44,1428,840,273,0,0,4,0,0,26,46,72,1220,-999,1160,1078,37,45,134,9702,9217
Vianden,413,554,1340,1894,58,610,464,254,0,0,2,0,0,26,46,72,831,-999,699,649,26,24,103,5841,5587
