com_name,LSAP,DP,déi gréng,CSV,déi Lénk,ADR,PIRATEN,FOKUS.,VOLT,KPL,LIBERTÉ-FRÄIHEET !,ps_count,ps_lv_only,ps_complete,cand_women,cand_men,cand_total,bl_in_box,bl_valid,bl_blank,bl_invalid,bl_postal,vot_count,vot_total_cast
Beaufort,1278,1450,498,1727,185,1064,596,214,33,33,263,0,4,0,0,26,47,73,1223,1107,52,64,305,7749,7341
Bech,649,990,460,1620,231,424,163,268,19,8,69,0,2,0,0,26,47,73,755,718,16,21,210,5026,4901
Beckerich,1465,1832,1442,3837,337,1591,1236,311,0,0,270,44,5,0,0,39,51,90,1505,1421,44,40,536,12789,12365
Berdorf,1543,1160,329,1421,155,878,274,190,9,40,117,0,4,0,0,26,47,73,983,915,30,38,296,6405,6116
Bertrange,5113,15679,5573,15686,1423,2961,3117,1477,0,441,678,0,7,0,0,92,118,210,2809,2647,65,97,777,55587,52148
Bettembourg,25068,13135,8903,26721,3662,9808,5889,2695,392,591,1044,227,17,0,0,121,155,276,4883,4530,165,188,1244,104190,98135
Bettendorf,1546,1711,748,3544,421,1151,1044,503,0,0,59,56,4,0,0,39,51,90,1377,1255,62,60,351,11295,10783
Betzdorf,2124,2679,1499,3871,367,936,324,308,21,35,152,0,5,0,0,26,47,73,1907,1806,44,57,578,12642,12316
Bissen,5361,5120,1950,8647,779,2198,2556,949,0,79,343,0,4,0,0,92,118,210,1624,1487,65,72,426,31227,27982
Biwer,1013,1394,389,1942,137,709,320,208,33,12,143,0,3,0,0,26,47,73,993,935,22,36,315,6545,6300
Boulaide,1256,981,261,1829,180,948,476,235,0,0,148,33,3,0,0,39,51,90,792,740,23,29,219,6660,6347
Bourscheid,860,1285,480,2422,219,805,484,208,0,0,168,13,2,0,0,39,51,90,850,800,23,27,200,7200,6944
Bous-Waldbredimus,1576,2042,839,3380,258,1055,540,282,32,90,78,0,4,0,0,26,47,73,1600,1511,36,53,507,10577,10172
Clervaux,2548,3942,1250,7926,611,3207,1656,715,0,0,442,143,8,0,0,39,51,90,2806,2612,98,96,807,23508,22440
Colmar-Berg,2064,2774,1479,4812,761,1684,2398,1026,0,88,411,0,3,0,0,92,118,210,1053,955,43,55,325,20055,17497
Consdorf,1030,1546,539,2058,183,892,400,102,9,22,144,0,3,0,0,26,47,73,1086,1024,21,41,305,7168,6925
Contern,4066,8646,3709,13406,844,2298,2240,1103,0,58,293,0,6,0,0,92,118,210,1974,1881,47,46,612,39501,36663
Dalheim,1234,1557,549,2044,270,926,601,143,4,45,121,0,3,0,0,26,47,73,1196,1115,31,50,282,7805,7494
Diekirch,5251,3892,1904,7704,706,1712,1632,612,0,0,135,25,8,0,0,39,51,90,2961,2724,99,138,836,24516,23573
Differdange,48370,30246,8977,39027,7977,21540,13700,3112,591,3596,1609,1051,29,0,0,121,155,276,9678,8547,501,630,2053,196581,179796
Dippach,8102,8044,3105,13294,1279,3720,2446,1070,70,278,366,131,6,0,0,121,155,276,2154,2011,54,89,600,46253,41905
Dudelange,63670,18576,15953,42830,8895,19320,11461,3525,803,1200,1942,464,29,0,0,121,155,276,9756,8923,365,468,2549,205229,188639
Echternach,2398,3961,1264,3477,358,967,582,265,28,35,177,0,8,0,0,26,47,73,2156,2009,62,85,592,14063,13512
Ell,892,1203,487,2160,140,987,637,275,0,0,124,27,2,0,0,39,51,90,870,800,43,27,235,7200,6932
Erpeldange-sur-Sûre,1381,2021,977,3970,284,1004,562,424,0,0,88,15,4,0,0,39,51,90,1300,1245,31,24,395,11205,10726
Esch-sur-Alzette,51327,28193,14028,51679,14954,20698,12745,4902,737,2893,1861,708,38,0,0,121,155,276,11038,9748,521,769,1977,224204,204725
Esch-sur-Sûre,1700,1712,1017,4395,339,1617,941,388,0,0,195,48,4,0,0,39,51,90,1557,1434,56,67,543,12906,12352
Ettelbruck,5565,5335,2395,8214,852,2707,1963,683,0,0,511,116,9,0,0,39,51,90,3597,3264,138,195,868,29376,28341
Feulen,1642,2015,589,3501,256,890,580,298,0,0,180,31,3,0,0,39,51,90,1279,1184,46,49,395,10656,9982
Fischbach,1402,2694,1145,3578,242,1067,887,456,0,6,112,0,2,0,0,92,118,210,645,603,17,25,176,12663,11589
Flaxweiler,1207,1361,672,2698,142,637,374,147,14,9,70,0,3,0,0,26,47,73,1152,1080,32,40,301,7560,7331
Frisange,8939,6782,3113,15368,1519,6294,3444,944,129,172,598,123,6,0,0,121,155,276,2317,2185,60,72,608,50255,47425
Garnich,4389,4027,1603,8579,1043,2281,1142,953,84,232,160,27,3,0,0,121,155,276,1237,1161,42,34,513,26703,24520
Goesdorf,1061,1024,438,2709,192,1134,792,206,0,0,86,27,2,0,0,39,51,90,984,899,47,38,282,8091,7669
Grevenmacher,2728,3230,908,4675,287,1185,588,229,23,92,90,0,6,0,0,26,47,73,2226,2089,43,94,603,14623,14035
Groussbus-Wal,1274,2210,721,3665,146,1128,806,402,0,0,65,12,4,0,0,39,51,90,1291,1200,46,45,339,10800,10429
Habscht,7995,7815,3579,16358,1835,5103,2756,1439,202,172,378,251,6,0,0,121,155,276,2434,2273,74,87,657,52279,47883
Heffingen,1572,2503,1238,4286,398,1198,955,1060,0,12,264,0,2,0,0,92,118,210,764,711,22,31,202,14931,13486
Helperknapp,6073,8334,4635,15447,1332,4894,4201,1297,0,132,936,0,6,0,0,92,118,210,2592,2442,69,81,822,51282,47281
Hesperange,10303,22096,10869,35249,3020,5840,6303,2191,0,302,1309,0,19,0,0,92,118,210,5285,4992,100,193,1358,104832,97482
Junglinster,3696,6940,2404,7737,806,1924,1011,555,92,81,396,0,12,0,0,26,47,73,3914,3766,63,85,1224,26362,25642
Käerjeng,24061,15069,6824,35879,3381,13135,7795,2446,291,872,779,490,16,0,0,121,155,276,5568,5217,184,167,1664,119991,111022
Kayl,22153,10162,5027,23622,3032,11214,6378,1942,253,811,642,289,10,0,0,121,155,276,4499,4063,208,228,1051,93449,85525
Kehlen,10527,11225,5959,20545,1927,5577,3110,1547,191,166,387,136,9,0,0,121,155,276,2910,2745,62,103,766,63135,61297
Kiischpelt,637,726,318,1602,203,931,424,165,0,0,93,46,2,0,0,39,51,90,644,596,25,23,138,5364,5145
Koerich,5216,4008,2375,8065,1136,2119,1738,1024,56,130,202,51,3,0,0,121,155,276,1320,1227,45,48,430,28221,26120
Kopstal,3726,6753,3130,10959,1157,2296,1574,593,135,187,215,133,5,0,0,121,155,276,1472,1393,26,53,456,32039,30858
Lac de la Haute-Sûre,1319,1290,462,3635,160,1185,695,179,0,0,176,46,4,0,0,39,51,90,1139,1066,37,36,292,9594,9147
Larochette,1822,3372,973,3238,650,1068,1031,387,0,94,331,0,2,0,0,92,118,210,758,688,25,45,175,14448,12966
Lenningen,1109,1566,515,2100,170,580,301,190,23,24,74,0,3,0,0,26,47,73,1037,982,23,32,310,6874,6652
Leudelange,2909,5359,2231,7471,607,1724,1344,358,45,98,272,28,3,0,0,121,155,276,1142,1069,31,42,330,24587,22446
Lintgen,4661,5266,2874,6898,1079,2308,2241,665,0,213,421,0,3,0,0,92,118,210,1496,1388,47,61,479,29148,26626
Lorentzweiler,5534,6763,3571,9801,1367,2541,2743,1128,0,172,836,0,5,0,0,92,118,210,1894,1769,54,71,645,37149,34456
Luxembourg,53025,137702,64592,138140,22957,30090,29421,11506,0,2442,5350,0,88,0,0,92,118,210,27175,25190,614,1371,6666,528990,495225
Mamer,12201,13514,8261,28640,2714,5085,3568,1665,350,173,531,127,12,0,0,121,155,276,3755,3563,71,121,1242,81949,76829
Manternach,1439,1395,558,2417,180,791,238,336,6,2,239,0,3,0,0,26,47,73,1197,1125,31,41,330,7875,7601
Mersch,9979,18350,8161,23467,3974,6226,6549,2539,0,230,1399,0,11,0,0,92,118,210,4526,4203,121,202,1297,88263,80874
Mertert,3999,2310,753,4106,298,1287,916,552,31,44,224,0,6,0,0,26,47,73,2339,2162,73,104,584,15134,14520
Mertzig,1207,2197,693,2887,256,1030,786,146,0,0,220,18,3,0,0,39,51,90,1209,1103,52,54,411,9927,9440
Mondercange,15673,10692,5133,26497,3024,6671,4733,1427,138,405,621,93,11,0,0,121,155,276,3717,3474,131,112,965,79902,75107
Mondorf-les-Bains,1990,4841,647,3609,359,1129,622,181,28,58,214,0,7,0,0,26,47,73,2188,2033,70,85,470,14231,13678
Niederanven,6273,13073,5526,16695,1734,2267,2236,1480,0,206,451,0,8,0,0,92,118,210,2622,2522,28,72,861,52962,49941
Nommern,1989,3159,1477,4511,870,1599,1239,679,0,51,322,0,3,0,0,92,118,210,859,819,18,22,237,17199,15896
Parc Hosingen,2550,3046,859,5219,397,2593,1400,809,0,0,187,37,6,0,0,39,51,90,2190,2024,66,100,543,18216,17097
Pétange,33860,19477,7558,33040,5117,15306,18395,2742,537,1349,1386,1408,21,0,0,121,155,276,7565,6741,366,458,1828,155043,140175
Préizerdaul,1064,1626,748,2631,210,774,850,342,0,0,193,35,3,0,0,39,51,90,1035,992,28,15,387,8928,8473
Putscheid,607,787,346,1892,137,594,373,295,0,0,57,18,2,0,0,39,51,90,634,588,21,25,176,5292,5106
Rambrouch,2737,2977,990,6509,543,2365,1527,307,0,0,427,57,8,0,0,39,51,90,2308,2146,60,102,598,19314,18439
Reckange-sur-Mess,6018,4909,2547,10451,1033,2911,1546,1028,131,230,253,46,4,0,0,121,155,276,1538,1469,39,30,511,33787,31103
Redange/Attert,1665,2075,863,4881,411,1433,1215,472,0,0,229,29,4,0,0,39,51,90,1621,1517,51,53,442,13653,13273
Reisdorf,635,873,276,1534,117,666,350,149,0,0,57,0,2,0,0,39,51,90,599,533,28,38,141,4797,4657
Remich,1656,2261,823,2723,170,955,692,211,41,20,105,0,4,0,0,26,47,73,1535,1446,36,53,387,10122,9657
Roeser,14633,9601,4685,17803,2027,5305,3104,910,91,330,568,161,8,0,0,121,155,276,2870,2689,78,103,701,61847,59218
Rosport-Mompach,2143,2265,804,4883,270,1180,638,292,27,69,186,0,7,0,0,26,47,73,2008,1896,47,65,670,13272,12757
Rumelange,14186,4788,1692,9791,1280,5202,2805,1084,166,1129,331,212,7,0,0,121,155,276,2314,2056,89,169,464,47288,42666
Saeul,570,633,486,1497,171,513,347,123,0,0,78,24,1,0,0,39,51,90,522,504,12,6,133,4536,4442
Sandweiler,3180,6470,2869,6979,1033,1871,1569,1186,0,51,568,0,4,0,0,92,118,210,1418,1320,28,70,451,27720,25776
Sanem,44309,17606,9563,43143,8850,19387,12062,3760,427,1542,1509,716,28,0,0,121,155,276,8458,7688,339,431,2218,176824,162874
Schengen,3191,4216,1017,4845,366,1722,853,504,28,103,234,0,10,0,0,26,47,73,2673,2528,65,80,741,17696,17079
Schieren,1040,2415,591,2356,249,586,631,241,0,0,62,9,2,0,0,39,51,90,1044,965,38,41,308,8685,8180
Schifflange,25177,10966,5923,24946,4520,10224,6628,2094,440,908,690,193,12,0,0,121,155,276,4825,4387,204,234,1393,100901,92709
Schuttrange,3776,8805,4238,8580,926,1772,1988,980,0,50,424,0,5,0,0,92,118,210,1665,1590,19,56,575,33390,31539
Stadtbredimus,896,1220,509,2199,115,830,399,170,6,12,125,0,2,0,0,26,47,73,1003,958,21,24,287,6706,6481
Steinfort,14576,7646,4423,14567,1945,5003,3341,706,189,251,390,59,8,0,0,121,155,276,2650,2485,91,74,723,57155,53096
Steinsel,7292,11379,4794,13762,1617,2597,2512,1093,0,370,636,0,6,0,0,92,118,210,2462,2335,61,66,1013,49035,46052
Strassen,5928,16252,5419,16951,1513,2828,2627,1170,0,344,547,0,10,0,0,92,118,210,2870,2699,57,114,779,56679,53579
Tandel,1365,1680,653,3208,175,911,580,518,0,0,54,4,3,0,0,39,51,90,1138,1068,35,35,338,9612,9148
Troisvierges,1234,2511,555,3634,213,1428,675,294,0,0,175,166,4,0,0,39,51,90,1403,1289,48,66,322,11601,10885
Useldange,1115,1522,750,3199,254,1317,829,275,0,0,175,18,3,0,0,39,51,90,1180,1096,34,50,360,9864,9454
Vallée de l'Ernz,1262,2022,760,3750,277,919,710,316,0,0,260,36,4,0,0,39,51,90,1277,1194,47,36,309,10746,10312
Vianden,1142,1081,351,1562,99,721,447,211,0,0,95,2,2,0,0,39,51,90,724,662,31,31,164,5958,5711
Vichten,737,1050,457,1777,211,942,715,403,0,0,89,4,2,0,0,39,51,90,777,740,19,18,240,6660,6385
Waldbillig,1091,1166,607,1927,185,642,339,168,19,31,150,0,3,0,0,26,47,73,984,925,26,33,243,6475,6325
Walferdange,6012,14071,7492,17528,2342,3405,3520,1473,0,276,554,0,11,0,0,92,118,210,3046,2866,58,122,838,60186,56673
Weiler-la-Tour,2626,4692,2249,8417,620,1518,1335,488,0,47,350,0,4,0,0,92,118,210,1238,1160,21,57,408,24360,22342
Weiswampach,864,1326,331,2705,139,1143,578,340,0,0,88,64,3,0,0,39,51,90,953,878,29,46,249,7902,7578
Wiltz,5287,3695,980,5455,426,2735,1601,468,0,0,324,86,7,0,0,39,51,90,2814,2497,160,157,683,22473,21057
Wincrange,3408,2877,798,7234,327,3092,1111,441,0,0,318,54,7,0,0,39,51,90,2485,2306,85,94,656,20754,19660
Winseler,807,652,217,1821,100,671,457,101,0,0,97,27,2,0,0,39,51,90,617,575,20,22,119,5175,4950
Wormeldange,1071,2266,694,3751,194,694,301,170,27,31,78,0,5,0,0,26,47,73,1456,1386,38,32,403,9702,9277
